connection [0, 1, 0, 93]
connection [191, 1, 9, 191]
connection [194, 9, 17, 194]
connection [197, 16, 18, 204]
connection [198, 1, 0, 272]
connection [200, 7, 16, 214]
connection [200, 6, 7, 200]
connection [201, 17, 10, 201]
connection [202, 10, 18, 220]
connection [205, 19, 18, 238]
connection [208, 2, 5, 228]
connection [208, 3, 19, 215]
connection [208, 13, 17, 228]
connection [208, 11, 1, 209]
connection [208, 8, 7, 208]
connection [209, 12, 7, 223]
connection [209, 4, 1, 243]
connection [210, 18, 2, 230]
connection [211, 0, 17, 218]
connection [219, 13, 0, 252]
connection [273, 1, 9, 293]
connection [557, 18, 2, 570]
connection [669, 13, 1, 709]
connection [760, 12, 7, 766]
connection [784, 11, 1, 797]
connection [813, 2, 1, 833]
connection [876, 3, 16, 883]
connection [942, 7, 19, 949]
connection [950, 16, 18, 957]
connection [957, 19, 18, 957]
connection [1033, 11, 1, 1039]
connection [1208, 19, 1, 1235]
connection [1234, 4, 6, 1267]
connection [1257, 6, 12, 1257]
connection [1285, 6, 12, 1291]
connection [1317, 19, 5, 1317]
connection [1337, 18, 16, 1404]
connection [1346, 13, 17, 1352]
connection [1370, 18, 19, 1383]
connection [1382, 11, 7, 1382]
connection [1406, 18, 5, 1426]
connection [1495, 7, 19, 1515]
connection [1501, 0, 7, 1508]
connection [1515, 4, 6, 1535]
connection [1554, 1, 12, 1621]
connection [1556, 17, 10, 1563]
connection [1564, 8, 4, 1571]
connection [1586, 4, 6, 1586]
connection [1595, 13, 4, 1622]
connection [1621, 18, 1, 1714]
connection [1621, 4, 1, 1681]
connection [1624, 1, 0, 1697]
connection [1636, 9, 17, 1642]
connection [1637, 4, 0, 1704]
connection [1639, 4, 7, 1652]
connection [1643, 9, 1, 1643]
connection [1644, 3, 7, 1651]
connection [1657, 12, 1, 1664]
connection [1657, 11, 1, 1657]
connection [1661, 13, 7, 1692]
connection [1661, 13, 17, 1701]
connection [1666, 13, 1, 1692]
connection [1667, 18, 16, 1667]
connection [1671, 16, 19, 1697]
connection [1671, 1, 0, 1698]
connection [1673, 2, 5, 1673]
connection [1674, 11, 7, 1674]
connection [1678, 1, 11, 1705]
connection [1679, 13, 7, 1701]
connection [1679, 9, 7, 1699]
connection [1683, 11, 0, 1683]
connection [1687, 18, 2, 1700]
connection [1691, 18, 5, 1711]
connection [1692, 18, 19, 1768]
connection [1693, 7, 16, 1693]
connection [1695, 16, 19, 1702]
connection [1695, 6, 0, 1697]
connection [1696, 9, 7, 1769]
connection [1696, 6, 1, 1704]
connection [1697, 7, 18, 1697]
connection [1697, 7, 19, 1704]
connection [1697, 3, 16, 1724]
connection [1697, 18, 19, 1830]
connection [1697, 1, 0, 1705]
connection [1697, 6, 0, 1701]
connection [1697, 4, 1, 1697]
connection [1697, 13, 1, 1714]
connection [1698, 19, 5, 1732]
connection [1698, 16, 18, 1706]
connection [1698, 8, 4, 1700]
connection [1699, 16, 19, 1706]
connection [1699, 7, 16, 1719]
connection [1699, 0, 9, 1706]
connection [1699, 9, 17, 1700]
connection [1699, 1, 7, 1699]
connection [1699, 11, 7, 1706]
connection [1699, 4, 7, 1713]
connection [1699, 13, 7, 1713]
connection [1700, 18, 1, 1720]
connection [1700, 2, 1, 1703]
connection [1700, 18, 1, 1720]
connection [1700, 19, 1, 1706]
connection [1700, 3, 7, 1760]
connection [1700, 18, 1, 1740]
connection [1700, 18, 5, 1733]
connection [1700, 18, 5, 1800]
connection [1700, 3, 18, 1706]
connection [1700, 18, 7, 1700]
connection [1700, 18, 16, 1724]
connection [1700, 18, 3, 1715]
connection [1700, 17, 10, 1713]
connection [1700, 13, 1, 1714]
connection [1700, 17, 1, 1707]
connection [1700, 9, 17, 1719]
connection [1700, 0, 1, 1706]
connection [1700, 9, 1, 1720]
connection [1700, 9, 0, 1707]
connection [1700, 9, 1, 1720]
connection [1700, 1, 7, 1700]
connection [1700, 1, 9, 1760]
connection [1700, 9, 7, 1820]
connection [1700, 9, 0, 1760]
connection [1700, 9, 17, 1820]
connection [1700, 9, 1, 1814]
connection [1700, 12, 0, 1706]
connection [1700, 1, 7, 1727]
connection [1700, 12, 0, 1714]
connection [1700, 12, 1, 1707]
connection [1700, 1, 7, 1767]
connection [1700, 11, 0, 1700]
connection [1700, 11, 12, 1700]
connection [1700, 1, 7, 1773]
connection [1700, 1, 12, 1770]
connection [1700, 11, 0, 1707]
connection [1700, 11, 12, 1714]
connection [1700, 1, 7, 1793]
connection [1700, 1, 11, 1740]
connection [1700, 1, 12, 1793]
connection [1700, 6, 1, 1706]
connection [1700, 4, 7, 1766]
connection [1700, 4, 0, 1713]
connection [1700, 6, 7, 1706]
connection [1700, 4, 0, 1713]
connection [1700, 8, 0, 1700]
connection [1700, 8, 4, 1700]
connection [1700, 4, 8, 1705]
connection [1700, 8, 7, 1700]
connection [1700, 8, 0, 1700]
connection [1700, 8, 1, 1700]
connection [1700, 8, 7, 1706]
connection [1700, 8, 0, 1700]
connection [1700, 8, 1, 1706]
connection [1700, 13, 7, 1719]
connection [1700, 13, 17, 1713]
connection [1700, 13, 7, 1726]
connection [1700, 13, 1, 1724]
connection [1700, 13, 17, 1726]
connection [1721, 20, 24, 1721]
connection [1721, 20, 24, 1721]
connection [1721, 20, 24, 1721]
connection [1721, 21, 20, 1721]
connection [1721, 21, 20, 1721]
connection [1721, 21, 20, 1721]
connection [1721, 21, 20, 1721]
connection [1721, 21, 20, 1721]
connection [1721, 21, 20, 1721]
connection [1721, 21, 20, 1721]
connection [1721, 21, 20, 1721]
connection [1721, 21, 20, 1721]
connection [1721, 21, 20, 1722]
connection [1721, 21, 20, 1761]
connection [1722, 21, 20, 1801]
connection [1725, 23, 21, 1801]
connection [1730, 13, 23, 2083]
connection [1748, 14, 23, 1748]
connection [1756, 14, 8, 1756]
connection [1761, 7, 20, 1761]
connection [1761, 4, 14, 1781]
connection [1774, 5, 3, 1774]
connection [1774, 5, 3, 1828]
connection [1774, 5, 8, 1821]
connection [1774, 5, 3, 1907]
connection [1774, 5, 8, 1960]
connection [1774, 5, 8, 2122]
connection [1774, 5, 3, 2034]
connection [1774, 5, 13, 1980]
connection [1774, 5, 20, 1774]
connection [1774, 5, 20, 1780]
connection [1774, 5, 21, 1787]
connection [1774, 5, 13, 2010]
connection [1774, 5, 3, 2200]
connection [1774, 5, 13, 2027]
connection [1774, 5, 13, 2066]
connection [1774, 5, 3, 2408]
connection [1804, 18, 14, 1804]
connection [1823, 1, 4, 1823]
connection [1824, 21, 20, 1824]
connection [1824, 21, 20, 1824]
connection [1824, 21, 20, 1824]
connection [1848, 5, 13, 2461]
connection [1872, 24, 23, 1872]
connection [1872, 24, 21, 1872]
connection [1872, 24, 21, 1872]
connection [1872, 24, 21, 1872]
connection [1872, 24, 21, 1879]
connection [1872, 24, 21, 1892]
connection [1872, 24, 21, 1912]
connection [1872, 24, 23, 1872]
connection [1872, 24, 23, 1872]
connection [1872, 24, 23, 1872]
connection [1872, 24, 23, 1872]
connection [1872, 24, 23, 1872]
connection [1872, 24, 23, 1872]
connection [1872, 24, 23, 1878]
connection [1872, 24, 23, 1879]
connection [1872, 24, 23, 1879]
connection [1872, 24, 23, 1885]
connection [1872, 24, 23, 1885]
connection [1872, 24, 23, 1886]
connection [1872, 24, 23, 1886]
connection [1872, 24, 23, 1892]
connection [1872, 24, 23, 1892]
connection [1872, 24, 23, 1892]
connection [1872, 24, 23, 1892]
connection [1872, 24, 23, 1892]
